datetime,file_date,leaf_name,instrument_id,symbol,raw_symbol,instrument_class,underlying,underlying_id,expiration,strike_price,bid_px,ask_px,mid_px,spread_px,close,volume,last_trade_price,fut_symbol,fut_raw_symbol,data_quality
2026-06-27T14:30:00,2026-06-27,gc_options,9001001,OGM6 C3400,OGM6 C3400,call,GCZ6,8001001,2026-06-25T17:00:00,3400.0,42.5,43.2,42.85,0.7,42.9,12,42.8,GCM6,GCZ6,mock
2026-06-27T14:30:00,2026-06-27,gc_options,9001002,OGM6 P3400,OGM6 P3400,put,GCZ6,8001001,2026-06-25T17:00:00,3400.0,38.1,38.9,38.5,0.8,38.6,8,38.4,GCM6,GCZ6,mock
2026-06-27T14:30:00,2026-06-27,gc_options,9001003,OGM6 C3450,OGM6 C3450,call,GCZ6,8001001,2026-06-25T17:00:00,3450.0,28.3,29.0,28.65,0.7,28.7,15,28.5,GCM6,GCZ6,mock
2026-06-27T14:30:00,2026-06-27,gc_options,9001004,OGM6 P3450,OGM6 P3450,put,GCZ6,8001001,2026-06-25T17:00:00,3450.0,48.2,49.1,48.65,0.9,48.8,10,48.5,GCM6,GCZ6,mock
2026-06-27T14:30:00,2026-06-27,gc_options,9001005,OGM6 C3500,OGM6 C3500,call,GCZ6,8001001,2026-06-25T17:00:00,3500.0,18.6,19.2,18.9,0.6,19.0,22,18.8,GCM6,GCZ6,mock
2026-06-27T14:30:00,2026-06-27,gc_options,9001006,OGM6 P3500,OGM6 P3500,put,GCZ6,8001001,2026-06-25T17:00:00,3500.0,60.5,61.4,60.95,0.9,61.0,18,60.8,GCM6,GCZ6,mock
2026-06-27T14:31:00,2026-06-27,gc_options,9001001,OGM6 C3400,OGM6 C3400,call,GCZ6,8001001,2026-06-25T17:00:00,3400.0,42.6,43.3,42.95,0.7,43.0,9,42.9,GCM6,GCZ6,mock
2026-06-27T14:31:00,2026-06-27,gc_options,9001002,OGM6 P3400,OGM6 P3400,put,GCZ6,8001001,2026-06-25T17:00:00,3400.0,38.0,38.8,38.4,0.8,38.5,6,38.3,GCM6,GCZ6,mock
2026-06-27T14:31:00,2026-06-27,gc_options,9001005,OGM6 C3500,OGM6 C3500,call,GCZ6,8001001,2026-06-25T17:00:00,3500.0,18.7,19.3,19.0,0.6,19.1,11,19.0,GCM6,GCZ6,mock
2026-06-27T14:31:00,2026-06-27,gc_options,9001006,OGM6 P3500,OGM6 P3500,put,GCZ6,8001001,2026-06-25T17:00:00,3500.0,60.6,61.5,61.05,0.9,61.1,7,61.0,GCM6,GCZ6,mock
2026-06-27T14:32:00,2026-06-27,gc_options,9001003,OGM6 C3450,OGM6 C3450,call,GCZ6,8001001,2026-06-25T17:00:00,3450.0,28.4,29.1,28.75,0.7,28.8,5,28.6,GCM6,GCZ6,mock
2026-06-27T14:32:00,2026-06-27,gc_options,9001004,OGM6 P3450,OGM6 P3450,put,GCZ6,8001001,2026-06-25T17:00:00,3450.0,48.3,49.2,48.75,0.9,48.9,4,48.7,GCM6,GCZ6,mock
2026-06-27T14:35:00,2026-06-27,gc_options,9002001,OGN6 C3550,OGN6 C3550,call,GCZ6,8001001,2026-07-28T17:00:00,3550.0,32.1,32.8,32.45,0.7,32.5,14,32.3,GCM6,GCZ6,mock
2026-06-27T14:35:00,2026-06-27,gc_options,9002002,OGN6 P3550,OGN6 P3550,put,GCZ6,8001001,2026-07-28T17:00:00,3550.0,72.4,73.2,72.8,0.8,72.9,9,72.7,GCM6,GCZ6,mock
2026-06-27T14:35:00,2026-06-27,gc_options,9002003,OGN6 C3600,OGN6 C3600,call,GCZ6,8001001,2026-07-28T17:00:00,3600.0,22.5,23.1,22.8,0.6,22.9,20,22.7,GCM6,GCZ6,mock
2026-06-27T14:35:00,2026-06-27,gc_options,9002004,OGN6 P3600,OGN6 P3600,put,GCZ6,8001001,2026-07-28T17:00:00,3600.0,85.0,86.1,85.55,1.1,85.8,12,85.6,GCM6,GCZ6,mock
